country,population,population_pct,date
Lesotho,2007201,0.0258,2016-04-10
Latvia,1908100,0.0246,2020-01-01
Kosovo,1795666,0.0231,2018-12-31
Guinea-Bissau,1604528,0.0207,2019-07-01
Bahrain,1543300,0.0199,2019-07-01
East Timor,1387149,0.0179,2019-07-01
Trinidad and Tobago,1363985,0.0176,2019-06-30
Equatorial Guinea,1358276,0.0175,2018-07-01
Estonia,1328360,0.0171,2020-01-01
Mauritius,1265985,0.0163,2019-07-01
Eswatini,1093238,0.0141,2017-05-11
Djibouti,1078373,0.0139,2019-07-01
Fiji,884887,0.0114,2017-09-17
Cyprus,875900,0.0113,2018-12-31
Comoros,873724,0.0113,2019-07-01
Guyana,782766,0.0101,2019-07-01
Bhutan,741672,0.00955,2019-07-01
Solomon Islands,680806,0.00877,2019-07-01
Macau,676100,0.008709999999999999,2019-09-30
Montenegro,622359,0.00801,2018-01-01
Luxembourg,613894,0.007909999999999999,2019-01-01
Western Sahara,582463,0.0075,2019-07-01
Suriname,581372,0.007490000000000001,2019-07-01
Cape Verde,550483,0.007090000000000001,2019-07-01
Malta,493559,0.00636,2018-12-31
Transnistria,469000,0.00604,2018-01-01
Brunei,442400,0.0057,2018-07-01
Belize,408487,0.00526,2019-07-01
Bahamas,385340,0.00496,2019-07-01
Maldives,374775,0.00483,2018-12-31
Iceland,364260,0.00469,2019-12-31
Northern Cyprus,351965,0.004529999999999999,2017-12-31
Vanuatu,304500,0.00392,2018-07-01
Barbados,287025,0.0037,2019-07-01
New Caledonia,282200,0.0036299999999999995,2018-01-01
French Polynesia,275918,0.00355,2017-08-17
Abkhazia,244832,0.00315,2018-01-01
São Tomé and Príncipe,201784,0.0026,2018-07-01
Samoa,200874,0.00259,2019-07-01
Saint Lucia,178696,0.0023,2018-07-01
Guam,172400,0.0022199999999999998,2018-07-01
Curaçao,158665,0.0020399999999999997,2019-01-01
Kiribati,120100,0.00155,2018-07-01
Aruba,112309,0.00145,2019-03-31
Grenada,112003,0.00144,2019-07-01
Saint Vincent and the Grenadines,110608,0.0014199999999999998,2019-07-01
Jersey,106800,0.0013800000000000002,2018-12-31
U.S. Virgin Islands,104578,0.00135,2019-07-01
F.S. Micronesia,104468,0.00135,2019-07-01
Tonga,100651,0.0013,2016-11-30
Seychelles,97625,0.00126,2019-06-30
Antigua and Barbuda,96453,0.00124,2019-07-01
Isle of Man,83314,0.00107,2016-04-24
Andorra,77543,0.000999,2019-12-31
Dominica,71808,0.000925,2019-07-01
Cayman Islands,65813,0.0008470000000000001,2018-12-31
Bermuda,64027,0.000824,2019-07-01
Guernsey,62792,0.0008089999999999999,2019-03-31
American Samoa,56700,0.00073,2018-07-01
Greenland,56081,0.000722,2020-01-01
Northern Mariana Islands,56200,0.000724,2018-07-01
Marshall Islands,55500,0.000715,2018-07-01
South Ossetia,53532,0.0006889999999999999,2015-10-15
Saint Kitts and Nevis,52823,0.0006799999999999999,2019-07-01
Faroe Islands,52124,0.000671,2020-01-01
Turks and Caicos Islands,41369,0.000533,2018-07-01
Sint Maarten,40614,0.000523,2018-01-01
Liechtenstein,38557,0.000496,2019-06-30
Monaco,38300,0.000493,2018-12-31
Gibraltar,33701,0.000434,2019-07-01
San Marino,33574,0.00043200000000000004,2019-12-31
British Virgin Islands,30030,0.00038700000000000003,2019-07-01
Åland Islands,29789,0.000384,2018-12-31
Palau,17900,0.00022999999999999998,2018-07-01
Cook Islands,15200,0.000196,2018-07-01
Anguilla,14869,0.00019099999999999998,2019-07-01
Wallis and Futuna,11700,0.000151,2018-07-01
Nauru,11000,0.00014199999999999998,2018-07-01
Tuvalu,10200,0.000131,2018-07-01
Saint Barthélemy,9793,0.000126,2016-01-01
Saint Pierre and Miquelon,6008,7.74e-05,2016-01-01
"Saint Helena, Ascensionand Tristan da Cunha",5633,7.25e-05,2016-02-07
Montserrat,4989,6.42e-05,2019-07-01
Falkland Islands,3198,4.1200000000000005e-05,2016-10-09
Christmas Island,1928,2.48e-05,2018-06-30
Norfolk Island,1756,2.26e-05,2018-06-30
Niue,1520,1.9600000000000002e-05,2018-07-01
Tokelau,1400,1.8e-05,2018-07-01
Vatican City,799,1.0300000000000001e-05,2019-07-01
Cocos (Keeling) Islands,538,6.93e-06,2018-06-30
Pitcairn Islands,50,6.440000000000001e-07,2019-01-01
